SUBJ	condition	language	PUPIL_SIZE	CCC	rating_natural
2813	NEGATIVE	ENGLISH	893,26	08aENGLISH	6,4
2813	NEUTRAL	ENGLISH	897,32	03bENGLISH	5
2813	NEGATIVE	ENGLISH	903,78	18aENGLISH	5,88
2813	NEGATIVE	ENGLISH	910,89	10aENGLISH	4,92
2813	NEUTRAL	ENGLISH	911,52	08bENGLISH	3,72
2813	NEUTRAL	ENGLISH	912,94	13bENGLISH	4,44
3725	NEUTRAL	ENGLISH	912,95	02bENGLISH	6
2813	NEUTRAL	ENGLISH	913,42	07bENGLISH	5
2813	NEUTRAL	ENGLISH	917,97	04bENGLISH	4,44
2813	NEUTRAL	ENGLISH	920,12	02bENGLISH	6
3725	NEUTRAL	ENGLISH	925,45	15bENGLISH	3,84
2813	NEGATIVE	ENGLISH	925,73	14aENGLISH	4,8
3725	NEUTRAL	ENGLISH	926,03	03bENGLISH	5
2813	NEGATIVE	ENGLISH	926,78	16aENGLISH	6,12
3725	NEUTRAL	ENGLISH	927,32	18bENGLISH	5,84
2813	NEGATIVE	ENGLISH	928,1	15aENGLISH	5,32
2813	NEUTRAL	ENGLISH	929,78	20bENGLISH	5,92
2813	NEUTRAL	ENGLISH	930,42	10bENGLISH	5,6
2813	NEGATIVE	ENGLISH	932,93	20aENGLISH	3,08
3725	NEUTRAL	ENGLISH	934,08	11bENGLISH	5,96
3725	NEUTRAL	ENGLISH	934,14	12bENGLISH	4,96
3725	NEUTRAL	ENGLISH	941,75	06bENGLISH	4,24
2813	NEGATIVE	ENGLISH	943,66	03aENGLISH	5,16
2813	NEGATIVE	ENGLISH	944,84	02aENGLISH	6,04
3725	NEGATIVE	ENGLISH	946,56	11aENGLISH	5,28
2813	NEGATIVE	ENGLISH	947,68	19aENGLISH	4,24
3725	NEGATIVE	ENGLISH	949,38	18aENGLISH	5,88
3725	NEGATIVE	ENGLISH	950,04	12aENGLISH	6,24
3794	NEUTRAL	ENGLISH	950,97	05bENGLISH	5,36
2813	NEGATIVE	ENGLISH	951,1	11aENGLISH	5,28
2813	NEUTRAL	ENGLISH	951,71	12bENGLISH	4,96
2813	NEGATIVE	ENGLISH	952,18	06aENGLISH	5,64
2813	NEUTRAL	ENGLISH	953,74	19bENGLISH	5,04
2813	NEUTRAL	ENGLISH	954,56	14bENGLISH	3,92
2813	NEGATIVE	ENGLISH	954,72	09aENGLISH	5,28
2813	NEUTRAL	ENGLISH	955	01bENGLISH	4
3725	NEGATIVE	ENGLISH	955,15	04aENGLISH	4,28
3725	NEGATIVE	ENGLISH	955,81	20aENGLISH	3,08
2813	NEGATIVE	ENGLISH	956,44	07aENGLISH	4,76
3071	NEUTRAL	ENGLISH	958,88	19bENGLISH	5,04
3794	NEUTRAL	ENGLISH	963,11	13bENGLISH	4,44
2813	NEGATIVE	ENGLISH	963,31	12aENGLISH	6,24
3071	NEGATIVE	ENGLISH	963,31	07aENGLISH	4,76
3725	NEGATIVE	ENGLISH	964,59	17aENGLISH	6,24
3794	NEUTRAL	ENGLISH	964,64	01bENGLISH	4
3794	NEGATIVE	ENGLISH	964,81	18aENGLISH	5,88
3794	NEUTRAL	ENGLISH	965,74	18bENGLISH	5,84
3725	NEUTRAL	ENGLISH	967,45	07bENGLISH	5
2813	NEUTRAL	ENGLISH	968,88	06bENGLISH	4,24
3794	NEUTRAL	ENGLISH	969,47	09bENGLISH	5,48
3725	NEUTRAL	ENGLISH	970,57	17bENGLISH	5,28
3794	NEUTRAL	ENGLISH	972,63	07bENGLISH	5
3794	NEGATIVE	ENGLISH	972,96	13aENGLISH	5,88
3794	NEGATIVE	ENGLISH	973,64	16aENGLISH	6,12
3725	NEGATIVE	ENGLISH	974,65	06aENGLISH	5,64
3725	NEGATIVE	ENGLISH	975,7	16aENGLISH	6,12
3725	NEUTRAL	ENGLISH	975,79	04bENGLISH	4,44
2813	NEGATIVE	ENGLISH	976,5	13aENGLISH	5,88
3794	NEGATIVE	ENGLISH	978,32	12aENGLISH	6,24
3725	NEGATIVE	ENGLISH	978,59	09aENGLISH	5,28
3725	NEUTRAL	ENGLISH	979,45	10bENGLISH	5,6
3725	NEGATIVE	ENGLISH	980,3	19aENGLISH	4,24
2813	NEUTRAL	ENGLISH	980,32	16bENGLISH	4,52
3794	NEGATIVE	ENGLISH	980,37	19aENGLISH	4,24
3725	NEGATIVE	ENGLISH	981,12	10aENGLISH	4,92
3794	NEUTRAL	ENGLISH	981,71	12bENGLISH	4,96
3071	NEGATIVE	ENGLISH	981,84	01aENGLISH	5,8
3725	NEGATIVE	ENGLISH	981,85	02aENGLISH	6,04
3794	NEUTRAL	ENGLISH	982,03	04bENGLISH	4,44
3071	NEUTRAL	ENGLISH	983,06	02bENGLISH	6
3725	NEUTRAL	ENGLISH	983,72	05bENGLISH	5,36
3071	NEGATIVE	ENGLISH	983,83	13aENGLISH	5,88
2813	NEGATIVE	ENGLISH	983,86	01aENGLISH	5,8
3071	NEUTRAL	ENGLISH	984,12	07bENGLISH	5
3725	NEGATIVE	ENGLISH	984,76	13aENGLISH	5,88
3725	NEGATIVE	ENGLISH	984,91	15aENGLISH	5,32
2813	NEGATIVE	ENGLISH	984,92	17aENGLISH	6,24
3794	NEGATIVE	ENGLISH	985,14	04aENGLISH	4,28
3725	NEGATIVE	ENGLISH	985,69	08aENGLISH	6,4
3794	NEUTRAL	ENGLISH	986,09	20bENGLISH	5,92
2813	NEGATIVE	ENGLISH	986,4	05aENGLISH	3,84
3071	NEUTRAL	ENGLISH	987,21	01bENGLISH	4
3071	NEGATIVE	ENGLISH	987,4	19aENGLISH	4,24
